
county_name,total_tracts,dac_tracts,percent_dac_tracts,pop_total,pop_in_dac,percent_pop_in_dac,climate change,clean energy and energy efficiency,clean transit,affordable and sustainable housing,reduction and remediation of legacy pollution,critical clean water and waste infrastructure,health burdens,training and workforce development
Baker County,6,4,0.6666666666666666,16019.0,10612.0,0.6624633248017978,2,0,0,0,0,0,1,0
Benton County,18,2,0.1111111111111111,91107.0,10120.0,0.111078182796053,0,0,0,1,0,0,1,0
Clackamas County,80,4,0.05,410463.0,12784.0,0.031145316386617064,2,0,2,1,1,0,1,0
Clatsop County,12,3,0.25,39102.0,9734.0,0.24893867321364635,2,0,1,1,3,0,0,0
Columbia County,10,4,0.4,51375.0,23242.0,0.45239902676399024,3,1,1,0,1,0,0,1
Coos County,14,7,0.5,63686.0,42235.0,0.6631755801903088,3,0,2,0,2,0,5,0
Crook County,4,3,0.75,23011.0,15445.0,0.6712007300856112,2,0,0,0,0,0,0,1
Curry County,6,3,0.5,22650.0,12461.0,0.5501545253863135,2,1,0,0,0,0,2,0
Deschutes County,24,2,0.08333333333333333,186251.0,12792.0,0.0686815104348433,2,0,1,1,0,0,1,0
Douglas County,23,13,0.5652173913043478,109114.0,65550.0,0.6007478417068387,7,1,1,0,1,1,8,3
Gilliam County,1,1,1.0,1878.0,1878.0,1.0,0,0,0,0,0,0,0,0
Grant County,2,2,1.0,7189.0,7189.0,1.0,2,0,0,0,0,0,2,0
Harney County,2,2,1.0,7267.0,7267.0,1.0,1,0,0,0,1,0,0,0
Hood River County,4,1,0.25,23209.0,5721.0,0.2464992028954285,1,0,0,0,0,0,0,0
Jackson County,41,19,0.4634146341463415,216574.0,88032.0,0.40647538485690804,7,17,3,4,0,3,8,5
Jefferson County,6,2,0.3333333333333333,23607.0,7051.0,0.2986825941458042,2,0,0,0,0,0,1,2
Josephine County,16,12,0.75,86251.0,63122.0,0.7318407902517072,10,10,2,0,0,1,8,4
Klamath County,20,12,0.6,66921.0,40984.0,0.6124236039509272,7,9,3,2,0,0,9,7
Lake County,2,2,1.0,7837.0,7837.0,1.0,2,0,0,0,1,0,2,0
Lane County,87,34,0.39080459770114945,373340.0,148756.0,0.39844645631328013,13,1,12,6,6,6,28,6
Lincoln County,18,7,0.3888888888888889,48547.0,22949.0,0.472717160689641,3,0,2,0,0,1,3,1
Linn County,21,9,0.42857142857142855,125048.0,53431.0,0.42728392297357815,1,0,1,1,4,1,4,1
Malheur County,8,7,0.875,30412.0,30412.0,1.0,3,0,0,3,1,0,1,1
Marion County,58,18,0.3103448275862069,339641.0,117430.0,0.34574742154215776,5,0,12,5,12,6,9,7
Morrow County,2,2,1.0,11303.0,11303.0,1.0,0,0,0,0,1,0,0,0
Multnomah County,171,37,0.21637426900584794,804606.0,206946.0,0.2572016614342921,2,0,22,18,10,5,11,16
Polk County,12,3,0.25,83037.0,10176.0,0.1225477799053434,1,0,0,1,1,1,3,0
Sherman County,1,1,1.0,1642.0,1642.0,1.0,0,0,0,0,0,0,0,0
Tillamook County,9,6,0.6666666666666666,26389.0,20244.0,0.7671378225775891,5,2,1,0,2,0,2,0
Umatilla County,15,8,0.5333333333333333,77129.0,42032.0,0.5449571497102257,4,0,1,0,1,0,1,2
Union County,8,2,0.25,26337.0,7373.0,0.2799483616205338,2,0,0,1,0,1,1,0
Wallowa County,3,2,0.6666666666666666,7004.0,5076.0,0.7247287264420331,1,0,0,0,0,0,1,0
Wasco County,8,3,0.375,26130.0,10100.0,0.3865288939915806,2,0,0,0,1,0,1,0
Washington County,104,11,0.10576923076923077,589481.0,52757.0,0.08949737141655117,0,0,3,4,2,3,0,5
Wheeler County,1,1,1.0,1415.0,1415.0,1.0,1,1,0,0,0,0,1,0
Yamhill County,17,4,0.23529411764705882,104831.0,19742.0,0.1883221566139787,1,0,0,0,1,0,2,1
